name,File Name,medium,year,rotator,all,home,Portfolio,Underground,Opposition,Unrealized,Isolation,SeriesSix,Burn,PointsOfContention,Swarm,Swirls,Drone-related,Flat,PVC,Argument,TwelveHundredPieces,DTTW,Experiment,OtherPlastics,Card
,,,,,All Images,home,Portfolio,Underground,Opposition,Unrealized,Isolation,SeriesSix,Burn,PointsOfContention,Swarm,Swirls,Drone-related,Flat,PVC,Argument,TwelveHundredPieces,DTTW,Experiment,OtherPlastics,Card
Points of Contention at Governors Island Art Fair,poc_giaf2.jpg,"Wood, metal",2018,,x,,,,,,,,,x,,,,,,,,,,,
Points of Contention at NBOSS,poc_nboss0.jpg,"Wood, metal",2018,,x,x,,,,,,,,x,,,,,,,,,,,
Points of Contention at NBOSS,poc_nboss2.jpg,"Wood, metal",2018,,x,,,,,,,,,x,,,,,,,,,,,
Points of Contention at NBOSS,pod_nboss_decon.jpg,"Wood, metal",2018,,x,,,,,,,,,x,,,,,,,,,,,
Snakie at Prosper Farm,snakie_drone.jpg,"Wood, metal",2018,,x,x,x,,,,,,,,,,x,,,,,,,,
Swarm at King Farm,swarm_children.jpg,"Wood, metal",2018,,x,,,,,,,,,,x,,,,,,,,,,
"Swarm in Washington, DC",swarm_dc.jpg,"Wood, metal",2018,,x,,x,,,,,,,,x,,,,,,,,,,
Swarm at King Farm,swarm_king1.jpg,"Wood, metal",2018,,x,,,,,,,,,,x,,,,,,,,,,
Swarm at King Farm,swarm_king2.jpg,"Wood, metal",2018,,x,,,,,,,,,,x,,,,,,,,,,
Swarm on the Move,swarm_move.jpg,"Wood, metal",2018,,x,,,,,,,,,,x,,,,,,,,,,
Swarm at Prosper Farm,swarm_prosper.jpg,"Wood, metal",2018,,x,,x,,,,,,,,x,,,,,,,,,,
Zions Union Church,zu_with_qr.jpg,Digital,2017,,x,x,x,,,,,,,,,,x,,,,,,,,
Ben Vrackie Skewed,ben_vrackie_skewed.jpg,Photograph,2018,,x,,x,,,,,,,,,,,,,,,,,,
Carpet,carpet_pg.jpg,Photogrammetry,2018,,x,,,,,,,,,,,,,,,,,,,,
North Branch,drone_north_branch.jpg,Photograph,2018,,x,,,,,,,,,,,,x,,,,,,,,
On Hoth,dronie.jpg,Photograph,2018,,x,,,,,,,,,,,,x,,,,,,,,
Mesh in Snow,mesh_snow.jpg,Wire Mesh,2018,,x,,,,,,,,,,,,,,,,,,,,
Swirls Photogrammetric Model,swirls_protogram.jpg,Digital,2017,,x,,x,,,,,,,,,x,x,x,,,,,,,
Swirls First Prototype,swirls_proto.jpg,Wood,2017,,x,,x,,,,,,,,,x,,,,,,,,,
Swirls,swirls_fire_detail.jpg,Wood,2017,,x, ,x,,,,,,,,,x,,,,,,,,,
Swirls,swirls_and_me.jpg,Wood,2017,,x,x,x,,,,,,,,,x,x,,,,,,,,
Parking Lot,auto_zion_lot.jpg,Digital,2017,,x,x,x,,,,,,,,,,x,,,,,,,,
Snakie Prototype,snakie_prototype.jpg,"Wood, metal",2017,,x,,,,,,,,,,,,,,,,,,,,
Swirl Prototype in decay,swirl_decay.jpg,Wood,2017,,x,,,,,,,,,,,x,,,,,,,,,
Swirl Prototype in decay,swirl_decay2.jpg,Wood,2017,,x,,,,,,,,,,,x,,,,,,,,,
Swirl Prototype in decay,swirl_decay3.jpg,Wood,2017,,x,,,,,,,,,,,x,,,,,,,,,
Spikey Logo,spikey.jpg,"Simplify3D, Phototshop",2016,,x,,,,,,,,,,,,,x,,,,,,,
Reruns,reruns.jpg,"Plastic, Photoshop",2016,,x,,x,,,,,,,,,,,,,,,,,x,
QR Experimentation 2,qr1_detail.jpg,Plastic (PLA),2016,,x,,,,,,,,,,,,,,,,,,,x,
Down to the Wire,IMG_6058.jpg,Multitech,2016,,x,x,,,,,,,,,,,,,,,,x,,,
Down to the Wire,IMG_5503.jpg,Multitech,2016,,x,,x,,,,,,,,,,,,,,,x,,,
Down to the Wire detail,IMG_5460.jpg,Multitech,2016,,x,,,,,,,,,,,,,,,,,x,,,
Igloofest Hat,igloo_hat.jpg,"Plastic, LEDs, electronics, fleece",2016,,x,,x,,,,,,,,,,,,,,,,,x,
Down to the Wire Detail,dttwi.jpg,Multitech,2016,,x,,x,,,,,,,,,,,,,,,x,,,
Witness (EFAC Collaboration),witness.jpg,Various,2016,,x,,x,,,,,,,,,,,,,,,,,,
Argument,stew_argument.jpg,Wire Mesh,2015, ,x,x,x,,,,,,,,,,,,,x,,,,,
Anniversary 3D Study,in_close.jpg,3D Visualization,2015,,x,,,,,,,,,,,,,,,,,,,,
Experiment Series,IMG_9939.jpg,Photograph,2015,,x,,x,,,,,,,,,,,,,,,,x,,x
Beam,IMG_9834.jpg,Wire Mesh,2015,,x,,,,,,,,,,,,,,,x,,,,,
